15.12.2021. 15:59:19 : Starting Network Model Service...
15.12.2021. 15:59:19 : Inserting entity with GID (0000000100000001).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000001).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000002).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000003).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000004).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000005).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000006).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000007).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000001).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000002).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000003).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000004).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000005).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000006).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000007).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000001).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000002).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000003).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000004).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000005).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000006).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000007).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000008).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000009).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000c).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000d).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000e).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000001).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000002).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000100000002).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000008).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000009).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000c).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000d).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000e).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000008).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000009).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000c).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000d).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000e).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000000f).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000010).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000011).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000012).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000013).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000014).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000015).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000016).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000017).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000018).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000019).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001c).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000003).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000004).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000100000003).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000000f).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000010).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000011).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000012).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000013).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000014).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000015).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000000f).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000010).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000011).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000012).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000013).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000014).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000015).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001d).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001e).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000001f).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000020).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000021).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000022).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000023).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000024).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000025).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000026).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000027).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000028).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000029).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002a).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000005).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000006).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000100000004).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000016).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000017).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000018).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000200000019).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000001a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000001b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000020000001c).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000016).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000017).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000018).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000300000019).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000001a).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000001b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000030000001c).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002b).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002c).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002d).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002e).
15.12.2021. 15:59:19 : Inserting entity with GID (000000040000002f).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000030).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000031).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000032).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000033).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000034).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000035).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000036).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000037).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000400000038).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000007).
15.12.2021. 15:59:19 : Inserting entity with GID (0000000500000008).
15.12.2021. 15:59:20 : The WCF service GenericDataAccess is ready.
15.12.2021. 15:59:20 : Endpoints:
15.12.2021. 15:59:20 : net.tcp://localhost:10000/NetworkModelService/GDA/
15.12.2021. 15:59:20 : Connection string: ../NetworkModelData.data
15.12.2021. 15:59:20 : Trace level: Info
15.12.2021. 15:59:20 : The Network Model Service is started.
15.12.2021. 15:59:20 : Press <Enter> to stop the service.
15.12.2021. 16:00:01 : Applying  delta to network model.
15.12.2021. 16:00:01 : Inserting entity with GID (0000000100000005).
15.12.2021. 16:00:01 : Inserting entity with GID (000000020000001d).
15.12.2021. 16:00:01 : Inserting entity with GID (000000020000001e).
15.12.2021. 16:00:01 : Inserting entity with GID (000000020000001f).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000200000020).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000200000021).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000200000022).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000200000023).
15.12.2021. 16:00:01 : Inserting entity with GID (000000030000001d).
15.12.2021. 16:00:01 : Inserting entity with GID (000000030000001e).
15.12.2021. 16:00:01 : Inserting entity with GID (000000030000001f).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000300000020).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000300000021).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000300000022).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000300000023).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000039).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003a).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003b).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003c).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003d).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003e).
15.12.2021. 16:00:01 : Inserting entity with GID (000000040000003f).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000040).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000041).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000042).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000043).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000044).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000045).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000400000046).
15.12.2021. 16:00:01 : Inserting entity with GID (0000000500000009).
15.12.2021. 16:00:01 : Inserting entity with GID (000000050000000a).
15.12.2021. 16:00:01 : Applying delta to network model successfully finished.
15.12.2021. 16:00:15 : Applying  delta to network model.
15.12.2021. 16:00:15 : Inserting entity with GID (0000000100000006).
15.12.2021. 16:00:15 : Inserting entity with GID (0000000200000024).
15.12.2021. 16:00:15 : Inserting entity with GID (0000000300000024).
15.12.2021. 16:00:15 : Inserting entity with GID (0000000400000047).
15.12.2021. 16:00:15 : Inserting entity with GID (000000050000000b).
15.12.2021. 16:00:15 : Applying delta to network model successfully finished.
15.12.2021. 16:00:15 : Applying  delta to network model.
15.12.2021. 16:00:15 : Applying delta to network model successfully finished.
15.12.2021. 16:00:15 : Applying  delta to network model.
15.12.2021. 16:00:15 : Applying delta to network model successfully finished.
15.12.2021. 16:19:40 : Starting Network Model Service...
15.12.2021. 16:19:40 : Inserting entity with GID (0000000100000001).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000001).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000002).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000003).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000004).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000005).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000006).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000200000007).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000300000001).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000300000002).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000300000003).
15.12.2021. 16:19:40 : Inserting entity with GID (0000000300000004).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000005).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000006).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000007).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000001).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000002).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000003).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000004).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000005).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000006).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000007).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000008).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000009).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000e).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000001).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000002).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000100000002).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000008).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000009).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000e).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000008).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000009).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000000f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000010).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000011).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000012).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000013).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000014).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000015).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000016).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000017).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000018).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000019).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001c).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000003).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000004).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000100000003).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000000f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000010).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000011).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000012).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000013).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000014).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000015).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000000f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000010).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000011).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000012).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000013).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000014).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000015).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000001f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000020).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000021).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000022).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000023).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000024).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000025).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000026).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000027).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000028).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000029).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002a).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000005).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000006).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000100000004).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000016).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000017).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000018).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000019).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001c).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000016).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000017).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000018).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000019).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000002f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000030).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000031).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000032).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000033).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000034).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000035).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000036).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000037).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000038).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000007).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000008).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000100000005).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000020000001f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000020).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000021).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000022).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000023).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000030000001f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000020).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000021).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000022).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000023).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000039).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003a).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003b).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003c).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003d).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003e).
15.12.2021. 16:19:41 : Inserting entity with GID (000000040000003f).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000040).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000041).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000042).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000043).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000044).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000045).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000046).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000500000009).
15.12.2021. 16:19:41 : Inserting entity with GID (000000050000000a).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000100000006).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000200000024).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000300000024).
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000047).
15.12.2021. 16:19:41 : Inserting entity with GID (000000050000000b).
15.12.2021. 16:19:41 : The WCF service GenericDataAccess is ready.
15.12.2021. 16:19:41 : Endpoints:
15.12.2021. 16:19:41 : net.tcp://localhost:10000/NetworkModelService/GDA/
15.12.2021. 16:19:41 : Connection string: ../NetworkModelData.data
15.12.2021. 16:19:41 : Trace level: Info
15.12.2021. 16:19:41 : The Network Model Service is started.
15.12.2021. 16:19:41 : Press <Enter> to stop the service.
15.12.2021. 16:20:48 : Starting Network Model Service...
15.12.2021. 16:20:48 : Inserting entity with GID (0000000100000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000005).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000006).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000007).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000005).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000006).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000007).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000002).
